 Symbol  |  Frequency
 --------------------
    e    |   9.17%
    r    |   9.17%
    t    |   8.56%
    a    |   7.65%
    o    |   7.03%
    i    |   6.42%
    n    |   5.81%
    s    |   3.67%
    u    |   3.67%
    c    |   3.06%
    p    |   3.06%
    y    |   3.06%
    d    |   2.75%
    b    |   2.75%
    h    |   2.45%
    l    |   2.14%
    C    |   2.14%
    M    |   1.83%
    m    |   1.53%
    f    |   1.53%
    g    |   1.22%
    w    |   0.92%
    J    |   0.92%
    v    |   0.92%
    q    |   0.61%
    S    |   0.61%
    4    |   0.61%
    1    |   0.61%
    2    |   0.61%
    O    |   0.61%
    T    |   0.61%
    j    |   0.31%
    6    |   0.31%
    E    |   0.31%
    H    |   0.31%
    X    |   0.31%
    G    |   0.31%
    I    |   0.31%
    P    |   0.31%
    A    |   0.31%
    Q    |   0.31%
    D    |   0.31%
    z    |   0.31%
    W    |   0.31%
    x    |   0.31%


 Symbol  |  Huffman Codes
 ------------------------
    e    |   000
    r    |   001
    t    |   1110
    a    |   1100
    o    |   1010
    i    |   1001
    n    |   0110
    s    |   11010
    u    |   10111
    c    |   10000
    p    |   10001
    y    |   01111
    d    |   01010
    b    |   01011
    h    |   111111
    l    |   111101
    C    |   111100
    M    |   101101
    m    |   011101
    f    |   101100
    g    |   1111101
    w    |   1101100
    J    |   1101110
    v    |   1101101
    q    |   0100010
    S    |   0100000
    4    |   11111001
    1    |   0100001
    2    |   11111000
    O    |   11011110
    T    |   11011111
    j    |   01000110
    6    |   01000111
    E    |   01001010
    H    |   01001001
    X    |   01001011
    G    |   01001000
    I    |   01110010
    P    |   01110011
    A    |   01001100
    Q    |   01001111
    D    |   01110000
    z    |   01110001
    W    |   01001101
    x    |   01001110


 Total Bits: 1541
